Time,Var,End
2022-11-08 21:30:24.306584,0.002,16.1
2022-11-08 21:34:30.883022,0.003,14.78
2022-11-08 21:35:18.273074,0.001,12.740000000000002
2022-11-08 23:13:04.223182,0.008,23.91
2022-11-08 23:24:22.017839,0.007,28.73
2022-11-08 23:24:23.368721,0.006,26.779999999999998
2022-11-09 01:07:37.367064,0.009,33.53
2022-11-09 01:17:46.590990,0.012,40.93
2022-11-09 01:19:37.549601,0.011,36.41
2022-11-09 03:03:09.576161,0.013,46.339999999999996
2022-11-09 03:08:44.841478,0.014,41.089999999999996
2022-11-09 03:14:56.821926,0.016,51.06
2022-11-09 04:58:58.149787,0.017,53.190000000000005
2022-11-09 04:59:22.702667,0.018,52.51
2022-11-09 05:10:50.341094,0.019,60.25
2022-11-09 06:28:12.726092,0.004,20.26
2022-11-09 06:49:51.448190,0.005,21.0
2022-11-09 06:51:32.841674,0.0,11.4
2022-11-09 07:05:02.597715,0.01,37.0
2022-11-09 08:41:59.839426,0.02,61.19
2022-11-09 08:49:38.577670,0.025,65.81
2022-11-09 09:03:53.995362,0.03,75.18
2022-11-09 10:34:59.904530,0.035,80.73
2022-11-09 10:41:53.987077,0.04,85.52
2022-11-09 11:11:20.756951,0.002,16.1
2022-11-09 11:24:01.293362,0.003,14.78
2022-11-09 11:25:47.440434,0.05,88.89
2022-11-09 11:32:50.484609,0.045,87.72999999999999
2022-11-09 11:37:33.007929,0.001,12.33
2022-11-09 11:38:42.717576,0.004,20.26
2022-11-09 11:52:05.950557,0.02,60.47
2022-11-09 12:04:16.199852,0.025,65.81
2022-11-09 12:21:02.863012,0.006,26.05
2022-11-09 12:25:32.109932,0.03,75.18
2022-11-09 12:28:10.605681,0.035,80.73
2022-11-09 12:30:10.261222,0.015,48.54
2022-11-09 12:39:26.785383,0.05,88.56
2022-11-09 12:53:31.617221,0.008,23.91
2022-11-09 12:53:54.709263,0.003,14.78
2022-11-09 13:02:29.049210,0.004,20.26
2022-11-09 13:13:55.084447,0.045,87.72999999999999
2022-11-09 13:14:18.368007,0.04,85.38
2022-11-09 13:19:19.505972,0.009,33.53
2022-11-09 13:24:01.536047,0.012,40.93
2022-11-09 13:24:44.535711,0.001,12.33
2022-11-09 13:27:50.774227,0.002,15.76
2022-11-09 13:34:57.943898,0.016,51.06
2022-11-09 13:40:47.557060,0.017,52.800000000000004
2022-11-09 13:48:22.353282,0.006,26.05
2022-11-09 13:51:25.409416,0.007,29.270000000000003
2022-11-09 13:57:59.216188,0.019,60.25
2022-11-09 13:59:54.907274,0.011,36.53
2022-11-09 14:10:12.215805,0.013,45.86
2022-11-09 14:10:47.172571,0.0,11.63
2022-11-09 14:16:24.107091,0.01,37.0
2022-11-09 14:19:09.542631,0.014,40.25
2022-11-09 14:22:27.330150,0.015,48.51
2022-11-09 14:33:19.215095,0.025,65.81
2022-11-09 14:44:51.171055,0.04,85.52
2022-11-09 14:50:06.357867,0.001,12.740000000000002
2022-11-09 14:51:47.648445,0.05,88.71
2022-11-09 14:54:18.121129,0.045,87.42999999999999
2022-11-09 14:54:43.320808,0.005,21.29
2022-11-09 15:00:40.099151,0.018,52.559999999999995
2022-11-09 15:01:41.575669,0.02,60.629999999999995
2022-11-09 15:13:42.619966,0.004,20.26
2022-11-09 15:19:27.448870,0.006,26.779999999999998
2022-11-09 15:29:07.384269,0.013,46.06
2022-11-09 15:30:19.715904,0.011,36.41
2022-11-09 15:34:22.430493,0.035,80.63
2022-11-09 15:39:27.339060,0.002,15.76
2022-11-09 15:48:21.930724,0.03,74.7
2022-11-09 15:50:46.992181,0.003,15.160000000000002
2022-11-09 15:53:03.699602,0.017,53.190000000000005
2022-11-09 15:57:29.124726,0.008,23.06
2022-11-09 16:00:26.003769,0.009,33.56
2022-11-09 16:07:29.851961,0.0,11.63
2022-11-09 16:08:02.234859,0.007,29.270000000000003
2022-11-09 16:08:16.845342,0.005,21.0
2022-11-09 16:14:21.246015,0.012,41.089999999999996
2022-11-09 16:16:22.154479,0.015,48.51
2022-11-09 16:17:52.196916,0.015,48.51
2022-11-09 16:23:16.472593,0.014,40.25
2022-11-09 16:26:38.112346,0.02,61.19
2022-11-09 16:26:46.501934,0.016,51.29
2022-11-09 16:30:28.308216,0.018,52.559999999999995
2022-11-09 16:33:46.912332,0.025,65.81
2022-11-09 16:45:05.640237,0.03,75.18
2022-11-09 16:48:16.394780,0.019,60.77
2022-11-09 16:48:31.157625,0.035,80.91000000000001
2022-11-09 16:56:51.222558,0.04,85.52
2022-11-09 16:58:13.479840,0.01,36.33
2022-11-09 17:00:24.263916,0.002,16.1
2022-11-09 17:07:18.599364,0.008,23.91
2022-11-09 17:15:15.956119,0.003,14.78
2022-11-09 17:15:45.313052,0.007,29.37
2022-11-09 17:28:34.214042,0.001,12.33
2022-11-09 17:33:30.849954,0.045,87.72999999999999
2022-11-09 17:48:38.486034,0.014,41.089999999999996
2022-11-09 18:04:16.311302,0.005,21.0
2022-11-09 18:09:06.479860,0.019,60.41
2022-11-09 18:09:11.917388,0.05,88.89
2022-11-09 18:10:24.690933,0.004,20.24
2022-11-09 18:14:15.238287,0.015,48.51
2022-11-09 18:17:09.233537,0.006,26.05
2022-11-09 18:19:23.471645,0.011,36.53
2022-11-09 18:21:35.789050,0.009,33.56
2022-11-09 18:24:15.944694,0.012,41.089999999999996
2022-11-09 18:25:30.437661,0.025,65.81
2022-11-09 18:27:56.814514,0.04,85.52
2022-11-09 18:35:27.709460,0.017,52.949999999999996
2022-11-09 18:37:00.495737,0.001,12.43
2022-11-09 18:42:37.677157,0.018,52.559999999999995
2022-11-09 18:42:56.782897,0.016,51.29
2022-11-09 18:45:04.817238,0.045,87.42999999999999
2022-11-09 18:45:55.700867,0.008,22.79
2022-11-09 18:48:10.062355,0.002,16.1
2022-11-09 18:54:00.953078,0.0,10.79
2022-11-09 18:54:20.807130,0.01,36.33
2022-11-09 18:54:38.036815,0.013,45.86
2022-11-09 18:58:06.439350,0.004,20.26
2022-11-09 19:04:32.789129,0.02,60.629999999999995
2022-11-09 19:05:05.507392,0.006,26.779999999999998
2022-11-09 19:05:15.803933,0.035,80.63
2022-11-09 19:13:27.829198,0.03,74.7
2022-11-09 19:13:52.866310,0.007,28.73
2022-11-09 19:34:21.879733,0.05,88.89
2022-11-09 19:40:19.186595,0.003,15.160000000000002
2022-11-09 19:47:13.397693,0.012,40.93
2022-11-09 19:57:00.057933,0.013,46.339999999999996
2022-11-09 19:59:43.453963,0.009,33.56
2022-11-09 20:07:51.790808,0.016,51.339999999999996
2022-11-09 20:08:18.630418,0.019,60.25
2022-11-09 20:11:05.283609,0.011,36.53
2022-11-09 20:17:36.368858,0.025,65.81
2022-11-09 20:19:50.851719,0.02,61.19
2022-11-09 20:29:25.705912,0.035,80.91000000000001
2022-11-09 20:30:08.141068,0.001,12.43
2022-11-09 20:36:45.084150,0.002,16.1
2022-11-09 20:40:04.501990,0.014,40.25
2022-11-09 20:43:38.553810,0.05,88.56
2022-11-09 20:51:52.767594,0.018,52.559999999999995
2022-11-09 20:53:33.698874,0.007,28.73
2022-11-09 20:54:58.250613,0.005,21.29
2022-11-09 20:59:05.636061,0.009,33.53
2022-11-09 21:01:19.148071,0.0,10.79
2022-11-09 21:05:41.837183,0.015,48.54
2022-11-09 21:05:43.763798,0.01,36.33
2022-11-09 21:09:24.773451,0.03,74.7
2022-11-09 21:10:48.463115,0.013,46.339999999999996
2022-11-09 21:14:44.551553,0.017,52.949999999999996
2022-11-09 21:23:54.106955,0.008,23.06
2022-11-09 21:24:47.304291,0.04,85.38
2022-11-09 21:28:02.426783,0.045,87.72999999999999
2022-11-09 21:33:11.460435,0.004,20.24
2022-11-09 21:36:09.697287,0.011,36.53
2022-11-09 21:37:44.494860,0.003,15.160000000000002
2022-11-09 21:43:00.416086,0.017,53.190000000000005
2022-11-09 21:49:17.745937,0.018,52.51
2022-11-09 21:51:31.192926,0.012,41.089999999999996
2022-11-09 21:56:54.997728,0.006,26.05
2022-11-09 21:57:50.349352,0.0,11.63
2022-11-09 22:01:10.236297,0.005,21.0
2022-11-09 22:06:50.218051,0.015,48.51
2022-11-09 22:12:51.284472,0.014,40.25
2022-11-09 22:13:38.925344,0.02,61.19
2022-11-09 22:21:53.667926,0.016,51.29
2022-11-09 22:22:46.272563,0.03,74.77000000000001
2022-11-09 22:25:34.400096,0.025,65.67
2022-11-09 22:29:39.915267,0.019,60.77
2022-11-09 22:36:57.154075,0.035,80.73
2022-11-09 22:40:44.512516,0.045,87.42999999999999
2022-11-09 22:44:28.267355,0.001,12.740000000000002
2022-11-09 22:45:00.976771,0.01,36.33
2022-11-09 22:54:01.607757,0.003,14.78
2022-11-09 23:06:47.886011,0.009,33.53
2022-11-09 23:21:11.347063,0.002,15.76
2022-11-09 23:24:23.780774,0.04,85.38
2022-11-09 23:25:49.231664,0.008,23.06
2022-11-09 23:37:11.629106,0.019,60.25
2022-11-09 23:39:10.244445,0.05,88.89
2022-11-09 23:39:36.982693,0.0,11.4
2022-11-09 23:44:07.996458,0.006,26.05
2022-11-09 23:45:47.917413,0.004,20.24
2022-11-09 23:49:33.848128,0.007,29.270000000000003
2022-11-09 23:50:49.497521,0.015,47.77
2022-11-09 23:55:50.557209,0.02,61.19
2022-11-09 23:56:13.820449,0.025,65.81
2022-11-10 00:01:37.039637,0.013,45.86
2022-11-10 00:03:55.444202,0.012,41.089999999999996
2022-11-10 00:06:04.607288,0.017,52.949999999999996
2022-11-10 00:09:51.043500,0.014,40.25
2022-11-10 00:09:51.926724,0.035,80.73
2022-11-10 00:12:16.213168,0.016,51.29
2022-11-10 00:14:21.830611,0.045,87.33999999999999
2022-11-10 00:19:05.966079,0.011,36.53
2022-11-10 00:19:33.949151,0.05,88.71
2022-11-10 00:21:35.059135,0.018,52.559999999999995
2022-11-10 00:24:46.478760,0.002,16.1
2022-11-10 00:25:22.768266,0.005,21.29
2022-11-10 00:30:37.329609,0.003,14.78
2022-11-10 00:38:51.643243,0.004,20.26
2022-11-10 00:43:30.757245,0.008,23.91
2022-11-10 00:48:50.472344,0.007,28.73
2022-11-10 00:51:23.262379,0.03,74.7
2022-11-10 00:54:41.890688,0.001,12.33
2022-11-10 00:59:01.828648,0.01,36.33
2022-11-10 01:05:35.373623,0.04,85.38
2022-11-10 01:17:07.855634,0.006,26.05
2022-11-10 01:32:10.001173,0.013,46.339999999999996
2022-11-10 01:33:25.709720,0.016,51.06
2022-11-10 01:40:05.877521,0.0,11.63
2022-11-10 01:42:33.661213,0.01,37.0
2022-11-10 01:48:54.195721,0.005,21.0
2022-11-10 01:54:34.118961,0.009,33.56
2022-11-10 01:56:45.068254,0.012,41.089999999999996
2022-11-10 02:03:56.036270,0.011,36.53
2022-11-10 02:04:34.043212,0.001,12.43
2022-11-10 02:04:45.879126,0.035,80.73
2022-11-10 02:06:33.630141,0.045,87.33999999999999
2022-11-10 02:19:59.488397,0.014,40.25
2022-11-10 02:20:19.763360,0.008,23.91
2022-11-10 02:20:58.950765,0.003,14.78
2022-11-10 02:22:05.142182,0.006,26.779999999999998
2022-11-10 02:24:22.944977,0.017,52.949999999999996
2022-11-10 02:31:59.604199,0.018,52.559999999999995
2022-11-10 02:32:48.343996,0.019,60.77
2022-11-10 02:34:36.041197,0.007,28.73
2022-11-10 02:35:54.620566,0.025,65.75
2022-11-10 02:40:06.614732,0.015,48.54
2022-11-10 02:44:50.799,0.009,33.53
2022-11-10 02:44:55.542056,0.02,60.629999999999995
2022-11-10 02:53:22.164633,0.03,74.7
2022-11-10 02:55:46.371471,0.04,85.38
2022-11-10 02:59:24.967658,0.002,15.76
2022-11-10 03:01:06.056452,0.004,20.24
2022-11-10 03:26:33.630967,0.05,88.89
2022-11-10 03:26:39.810588,0.012,41.089999999999996
2022-11-10 03:27:00.595515,0.018,52.51
2022-11-10 03:28:06.174582,0.011,36.53
2022-11-10 03:28:08.427048,0.017,53.190000000000005
2022-11-10 03:29:17.663503,0.0,11.4
2022-11-10 03:32:59.794520,0.019,60.41
2022-11-10 03:42:29.508877,0.005,21.0
2022-11-10 03:47:57.673520,0.014,40.25
2022-11-10 03:52:26.189285,0.016,51.29
2022-11-10 03:57:57.963857,0.025,65.67
2022-11-10 03:58:04.667380,0.035,80.91000000000001
2022-11-10 03:58:42.972482,0.03,75.18
2022-11-10 04:01:21.814472,0.013,45.86
2022-11-10 04:11:39.482009,0.001,12.740000000000002
2022-11-10 04:18:41.341787,0.045,87.42999999999999
2022-11-10 04:21:26.276898,0.05,88.56
2022-11-10 04:26:37.240321,0.006,26.779999999999998
2022-11-10 04:28:17.075255,0.01,36.33
2022-11-10 04:28:19.315265,0.015,48.54
2022-11-10 04:39:21.802489,0.009,33.53
2022-11-10 04:43:03.321091,0.02,60.629999999999995
2022-11-10 04:55:28.227998,0.002,15.76
2022-11-10 04:59:55.959778,0.008,23.06
2022-11-10 05:01:44.476716,0.007,29.270000000000003
2022-11-10 05:03:21.228906,0.04,85.38
2022-11-10 05:12:15.046944,0.004,20.24
2022-11-10 05:15:28.947997,0.003,15.160000000000002
2022-11-10 05:19:59.718464,0.014,41.089999999999996
2022-11-10 05:20:18.512707,0.011,36.53
2022-11-10 05:28:22.886900,0.016,51.339999999999996
2022-11-10 05:32:55.967627,0.013,45.86
2022-11-10 05:34:08.355089,0.017,53.190000000000005
2022-11-10 05:34:08.803293,0.012,41.089999999999996
2022-11-10 05:44:07.296674,0.005,20.849999999999998
2022-11-10 05:44:37.781306,0.0,11.63
2022-11-10 05:51:02.577853,0.01,37.0
2022-11-10 06:03:22.569766,0.02,61.19
2022-11-10 06:11:51.768454,0.025,65.81
2022-11-10 06:17:59.272427,0.03,75.18
2022-11-10 06:21:39.914083,0.035,80.73
2022-11-10 06:27:04.168889,0.019,60.77
2022-11-10 06:29:42.351764,0.018,52.559999999999995
2022-11-10 06:35:27.124469,0.05,88.56
2022-11-10 07:00:28.618790,0.045,87.72999999999999
2022-11-10 07:00:28.740524,0.015,48.54
2022-11-10 07:02:52.265531,0.04,85.38
